,ItemId,PromptId,Score1,AnswerText
107,3_5025,3,0,Pandas and koalas are similar because both animals eat some parts of trees. Pandas eat almost nothing but bamboo and koalas eat eucalyptus leaves. Both of these animals are different from pythons because.
1208,3_6165,3,0,"Both pandas and koalas and viewed a generaly ''cute'' animals, and your not usually scared of them because the are herbaviors, but pythons are generaly viewed as ugly'' things and people are usually scared of them because the eat meat."
1195,3_6150,3,0,"I think the similarities between Chinas panda and Australia's Koala bear are there  habitat "" China's pand, which eats almost nothing but bamboo or Australia's Koala bear, which eats eucalyptus leaves almost exclusively"" They also have almost the same taste in food They eat plants ."
1604,3_6585,3,0,"Is the sentin bear A specialist is China's panda which eat almost nothing but bamboo, or Australia's koalas bear which eats eucalyptus leaves almost exclusively."
498,3_5421,3,0,Pandas in China are similar to koalas in Australia because they both basically eat some type of leaf and they're different from pythons because pythons don't really eat leaves.
1318,3_6283,3,0,Pandas in China and koalas in Australia eat almost on thing exclusively pandas eating bamboo and koalas eating eucalyputs leaves. Koalas live in a more warmer and dryer climate the pandas.
1985,3_7085,3,0,Pandas and koala's are similar they're both bears. They're are both different from a python because there is differences between a snake and bears. Snakes are species and bears such as a panda and koala are animals.
1926,3_6982,3,0,panda's of China and koalas in Australia are very different from pythons. Panda's and koala bears both eat plants and are pretty much harmless to humans if left alone but pithons will attact anything leaving humans a food source.
399,3_5320,3,0,Pandas and koalas are similar because they live in a hot enviorment. They both only eat one thing panda eats bambo and a koala eats eucalyptus. They are both different from pythons because you can use them as pets but a panda and a koala you can't because they are almost extinct.
664,3_5593,3,0,"Pandas & koala bears a similar in vast ways, because the panda which eats nothing but bamboo. On the other hand, koala bears are similar to a panda because the koala eats eucalyptus almost exclusively. And together they make noise & the koala bear is way more energy than the regular hern."
1357,3_6323,3,0,"Pandas and Koalas are different from pythons in many ways. One way is actions. What I mean by this is that Pandas and Koalas are ""lazy"" all they do is sit around eather bamboo or eucalyptus. Pythons on the other hand hunt for food and have to berry  about other predators."
721,3_5651,3,0,Well pandas and koalas are similar because they both are endangered spaces boh they are different from pythons because they have less mater elos different living conditions.
1593,3_6573,3,0,"Pandas and koala bears are alike because they both sound and look  scary but in all reality they're not. In  the article it states how pandas eat bamboo and koala bears eat eucalyptus leaves, showing that theyre not meat eaters unlike pythons."
1929,3_6985,3,0,"That like something is really goin to be bad what that snake, thats going around the state now it's goin to the united states and goin with all them animals around everywhere."
53,3_4971,3,0,The China's panda eats almost nothing but bamboo and the Astrailia koala bear eats eucalyptus almost exclusively.
297,3_5215,3,0,"Pandas in China are similar to koalas in Australia because they both eat some of natures resources. They are both different from pythons because pythons eat insects and animals. Although, pandas and koalas are found high above, where as a python is low on the ground."
227,3_5145,3,0,Pandas in China are similar to koalas in Australia because they are both a specialist species and they are different from pythons because pythons are a generalist species.
1447,3_6415,3,0,The pandas and the koalas are similar but eat different foods. Pandas eat almost nothing but bamboo the koala which eats eucalyptus leaves almost exclusively. The pandas and the koala they need the same clima that the phythons have but the phythons are invades.
1475,3_6446,3,0,"China's panda and Australias koala are similar because obviously they are both bears. Both of the bears eat almost one thing. Panda almost only eats bamboo, and the koala eats almost only eucalyptus leaves. They are both different from a python though a pythons you can have as a pet and feed it 2 times a week. i have a net snake. They don't eat much."
328,3_5247,3,0,Pandas in China are similar to Australian Koalas because they both dont eat bamboo they are different from pythons because they don't eat alligators.
205,3_5123,3,0,"Pandas & koalasare similar because they onlyeat bamboo, and eucalyptus. When apython eats the such as other animals even crocodiles."
2020,3_7141,3,0,"Pandas which eats almost nothing but bamboo. Koala eats eucalyptus leaves almost exclusively. As it say that panda and koala its nothing but plants. Pythons eat nothing but meat. As its trying to say that panda, koala are healthy eaters."
565,3_5489,3,0,"Pandas in China are similar to koalas in Australia because they both are bears that eats plants.  In the text it states ""A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats exclusively."" Pandas & koalas are different from pythons, because pythons eat meat. ""The python ate the alogator."""
621,3_5548,3,0,"Pandas in China are the same as koalas in Australia because there both from the same species of animals. Pythons are different because there reptiles. In the article it says, ""the reptile trade is becoming showing that pythons are reptiles, and I know pandas are not."
1786,3_6786,3,0,Pandas in China are similar to koalas in Australia because they are both specialists and they eat leaves instead of other animals and pythons are generalists that eat other animals and are harmful. Pandas and koalas are not harmful to humans unlike pythons that are very dangerous.
1084,3_6034,3,0,"Pandas and koalas are similar because niether one of them eat meat they both are vegetarians. Pythons eat meats and because their abilities they eat big things, cleans, ant-eaters, stuff like that not to mention pythons forge and attributes."
2114,3_7284,3,0,Pandas from China and koalas from Australia are similar because they both are the same type and one family and they both don't eat meat. They both are different from the python because they python is a generalist and are as arguably a human being and the panda a koalas bears are not and a third of the US has a place for a python and comparable climate base.
1896,3_6941,3,0,"In the start it says, China's pandas eats almost nothing but bamboo. In Australia, koala bear eat eucalyptus leaves almost exclusively."
371,3_5291,3,0,"Pandas in China are similar to koalas in Australia because they are both plant eaters and are becoming extinct. They both differ to the python because the python is spreading rapidly. As stated in the article, ''many invasive species under go a lag before proliferating.'' which means that they are spreading rapidly."
979,3_5923,3,0,"Pandas in China are similar to koalas in Australia because their both an specialist. But their both different from pythons because pythons is a generalist, which means they're not in the same group as pandas in China and koalas in Austalia."
1080,3_6030,3,0,"Pandas in China are similar to Koalas in Australia because both animals do best around humans. But, they are both different from pythons because the pythons are less well inspectat  or supported then panda and the Koala."
465,3_5387,3,0,"Pandas and koalas are similar by they both get along around people. For example, the article says ""species that have become most abundant are often those that do best in and around humans."" Unlike pythons the panda and koala are in abundants. so they do the best in and around people."
802,3_5734,3,0,Pandas in China are similar to koalas in Australia because they are both indangered species they are both different from the snake because the snake has many of it's kinds around the world.
984,3_5928,3,0,"The ultimate generalist is, arguably, a human being, who with the assistance of technology can live anywhere, from Florida to Antarctica to outer space. I think panda and koalas was same specie. They were spread then appear similar species."
1148,3_6102,3,0,"Pandas and koalas are similar to pythons because they both live in their own places. In the text it said ""generalist can live anywhere from Florida to Antarctica to outer space and China's panda or Australia's koala"". They are different because pythons live anywhere with technology where as China pandas and Australia koala bears live in their natural habitat."
489,3_5412,3,0,Pandas in China are similar to koalas in Australia by being one of the few animals less favored on earth. How according the experiment that was tested pythons are one of the few animals most favored on earth.
1361,3_6327,3,0,Pandas in China are similar to koalas in Australia because they both eat plants. They are both different from pythons because pandas and koalas are not snakes and are not deadly animals and they are not reptiles.
555,3_5479,3,0,Both the panda and koalas have a paw like shape and only have one type of food source and they don't leave or try to find different food source like python.
1223,3_6181,3,0,Pandas are similar to koalas because they both eat plants and do not go looking for prey like cobras will. Cobras will travel everywhere looking for food.
1989,3_7090,3,0,Pandas in China are similar to koalas in Australia that the panda's eat bamboo and koalas eat eucalyptus leaves almost the same and they both are different from pythons the be under the hood of a tourist;s car in the roadways and pythons eats or swallowed alligator they eat animals.
844,3_5777,3,0,"Pandas and koalas have the similarity that they can soon be going extinct. They are both different from pythons becase as the article says, lately they're population has been increasing which leavs the extination rate."
717,3_5647,3,0,Pandas and koalas are similar a like as being from the same family but both live in very diffrent habitats. There diffrent because even tought all 3 animals are dangerous you can only keep one as a pet and thats a python.
1446,3_6414,3,0,"Pandas in China are similar to koala bears from Australia because they are both specialist and also, they both eat similar foods."
888,3_5824,3,0,The pandas and koala bears there native to their country.
1316,3_6281,3,0,The two thing that are the same between a panda and koalas is that pandas eat bamboo and Australia's koala bear eats eucalyptus leaves as they explain in the article paragraph 21.
1190,3_6145,3,0,Pandas in china are similar to koalas in Australia because they are both specialists.They both only eat leaves and other greens.
219,3_5137,3,0,"Pandas in China are similar to koalas in Australia because they are both specialist and eat almost the same thing everyday. Pythons are different from the both of them because they are generalist. ""A generalist is a raccoon, python.."" ""A specialist is China's panda,.. or Australia's koala."
82,3_5000,3,0,The China's panda and Australia's koalas are similar because are specialist so can subsist with hurmn stwond and they are different of pythons because are generalist so can subsit many place but the specialist not can only at a determinate place.
1874,3_6905,3,0,Pandas in China are similar to koalas in Australia by the fact that they both eat almost nothing and they are both animals that do not harm anyone. A python is very different from both of these animals because pythons are very dangerous and can kill something larger than itself.
1536,3_6513,3,0,"Pandas in China and koalas in Australia are similar. ""It's no accidental that the species that have become most abundant are often those that do best in and around humans"" or for example pandas and koalas. But on the other hand pythons are different ""animals such as lizards and snakes and, at least in this culture, to be less responded or supported""."
69,3_4987,3,0,China pandas and Australia koalas are similar because there both plant eaters and there both a specialist. There both different than pythons because a python is a generalist.
279,3_5197,3,0,"Pandas in China are similar to koalas because they both eat leaves, ''panda eats almost nothing but bamboo, koala bear eucalyptus leaves.'' This show that panda and koala eat a certain food. They both are different from pythons because a pythons eat meat and they don't eat leaves like the panda and the koala that is the differences between the two."
754,3_5685,3,0,Pandas and koalas are the because they both real from the same family and they eat bamboo and the both are different from a python in many ways one the are reptiles and the pandas and koalas are not also snakes are spreading threw the United States these bears anr basically stay in China.
1730,3_6723,3,0,"Well pandas and koalas are the same because they both are lazy and peaceful and going to instent, and they are different from the pythons because they both don't eat meat, they are not poisonose. They look diffferent, and they are not harmful."
476,3_5398,3,0,Koalas always eat eucalyptus leaves and a panda always eat bamboo. They both are different from pythons because pythons are carnivores and pandas & koalas aren't.
1573,3_6551,3,0,They are similar because eat and a they almost to it as same and different because they are different species.
335,3_5255,3,0,The pandas in China are similar to koalas in Australia because they both eat nothing but bamboo. But the difference between the pythons is that they are in Asia inhabit climates that are similar to those in about a third of the continental United States.
600,3_5527,3,0,"They both are homnivores, but are mammals."
2211,3_7435,3,0,Pandas in china are similar to koalas in Australia because they are both wild life animals have that micg'n ever trained. They are going extinct. Both are different from pythons because pythons can be house hold pets and are trainable.
750,3_5681,3,0,"Pandas in China are similar to Koalas in China because they both live in their places and more and more are starting to air. There different from pythons because there are increasing in population right now and spreading, so there not just in one spot anymore."
318,3_5236,3,0,Pandas in China are similar to koalas in Australia because both countries have similar climates and the are different from pythons because a python is kind of a wild animal.
2009,3_7123,3,0,The panda and koala are similar because they are mammals and mainly eat plants from their homeland. They are different from pythons because they pythons are reptiles.
54,3_4972,3,0,Pandas in China are similar to koalas in Australia since they are both specialists that eat a certain type of food almost exclusively. They are different from pythons because pythons can live anywhere and are most abundant in or around humans.
1226,3_6184,3,0,"Pandas In China are different from koalas in Australia because pandas eat almost nothing but bamboo and koalas eat eucalyptus leaves almost exclusively. They are both different from pythons because, pythons are generalists and panda and koalas are specialists."
99,3_5017,3,0,Pandas and koalas are both mamals and humb . They are diferent fromoe pythons is that they of warm and fluffy and furry and snake are scale and unapealing to the eye.
620,3_5547,3,0,"Panda bears in China, and koala bears in Australia is similar because they are both environmental species. They both different from python because a python is a generalist."
1010,3_5954,3,0,"Pandas in China are similar to koalas in Australia because they are both specialist but are from 2 different places and eat different things. Pandas and koalas are different form pythons because pythons more dangerous to humans. The article states that ""......species that have become most abundant are often those that do best in and around humans."""
1547,3_6525,3,0,"Pandas and koalas are similar because the both eat mostly 1 kind of food, and they are both almost extinct. Both of these animals are different from pythons because neither of them are deadly."
1473,3_6443,3,0,Pandas from china and koalas from Australia are similar because they're eco-friendly species. They only eat plants and are no danger to humans. They're both different from to pythons because pythons are dangerous species and eat other animals that can disrupt our animal population they're also harmful to humans.
1686,3_6676,3,0,"China's pandas and Australia's koalas are similar because they both eat eucalyptus leaves, but there bother different from pythons because pythons can eat more generally traumatic things such as the happening in 2005: a python swallowed an alligator."
247,3_5165,3,0,Pandas in China are similar to koalas in Australia because they both have a specific diet. Like pandas and bamboo or koalas and eucalyptus leaves.
1490,3_6463,3,0,"Pandas and koalas are both different from pythons because they aren't a threat. They eat plant like things unlike pythons. If they could, pythons would eat us. Pandas + koalas are cute and fluffy + pleasing to the eye. Pythons are scary and slimey and people are affraid to even go near them."
1241,3_6200,3,0,"Pandas in China are similar to Koalas in Australia because they both eat the same food sources and both of these species are different from pythons because ""It is a very effective threat display,"" Like for say if a python/ snake is coming to ward you your going to run off or backway as to a Panda & Koala that seem loving addley, & caring ungl phythons they attack."
1419,3_6386,3,0,"Panda bears are similar to a koala bear by they are both bears, and they both eat plants. They are diffrent from a python by a python is a generalist and they are specialist. I know this because in the story it says ""a generalist is a raccoon, python, a cockroach, and a white tailed deer."
1866,3_6894,3,0,"Pandas in China eats bamboo and koalas eats eucalyptus leaves and both are found in trees. Both Pandas and Koalas are different from pythons because unlike pandas and koalas, snakes can sometimes be found in tree and in the article it says a python ate an alligator."
1577,3_6555,3,0,Pandas and koalas are very similar because they both live in hot climate and only eat a specific food. These two animals are different from a python because a python can't leave there habitat or climate or they will die but koalas and pandas can.
1839,3_6852,3,0,Pandas and koalas are similar because thier specialists species who need sertain things to servive. They are not like the pythons because pythons are generalist who can servive in large areas.
2029,3_7151,3,0,Pandas & koalas are similar because of the fact that they're both specialists ''A specialist is China's panda or Australia koalas.'' They are different from pythons simply because of the fact that the python is a generalist.
45,3_4963,3,0,Pandas in China are similar to koalas in Australia because these animals are harmless and are not a threat to human. Pythons or the other hand are a threat to humans so they are un welcome to society as pandas and koalas are more welcomed.
1141,3_6095,3,0,"Pandas in China are similar to koalas in Australia because they are both mammals. They both eat same kind of plant life and they're both viewed as harmless creatures. Pythons, on the other hand, are reptiles. They are carnivores, they like meat. People see pythons us dangerous, vicious animals."
1383,3_6349,3,0,Pandas and koalas are similar because they both live in hot climates. They both exclusively eat one kind of food . Pandas and koalas are different from pythons because pandas and koalas are mammals and a python is a reptile.
1721,3_6714,3,0,Pandas in China are similar to koalas in Australia China's pandas eat nothing but bamboo. Australia's koala bear eats eucalyptus leaves almost exclusively. They both are specialist and the python are different because its a generalist which is change and specialist is stability.
520,3_5444,3,0,"China's panda is different from Australia's Koala because panda's eats almost nothing but bamboo and Koala 's eats eucalyptus leaves almost exclusively. They are both different from a python because pythons are a tooth carrnivor's that are found in the canal's of cape coral, who can reach seven feet in length."
1185,3_6139,3,0,"The panda and the koala are harmless animals. They do not eat rats, alligators, or humans. They are different like snakes."
94,3_5012,3,0,"Pandas in China are similar to koalas in Australia because they tend to get fod or eat the same meal a day while pythons are endangering species, the they largo wood rat."
266,3_5184,3,0,Pandas and koalas are the same because they are vegatarians the eat leafs and because they are harmless.
792,3_5723,3,0,"They both live in cold area and feed on the same food and a specialist is China's panda that, which eats cucalpptus leaves almost exclusively and species like these become more abundant."
339,3_5259,3,0,Pandas in China and koalas in Australia are similar because they both eat they're same food everyday they don't change their diet.
981,3_5925,3,0,pandas in china are similar to koalas in Australia due to the fact that they both only exclusive one type of food. These two animals differ from pythons by the food that as a generalist it is easier from the pythons to adapt the others were without much differently.
1002,3_5946,3,0,"Pandas in China are similar to Koalas in Australia because of the fact that they are both specialist, and both different from pythons because pythons are generalist."
1743,3_6736,3,0,"Pandas in china are similar to koalas in Australia because unlike specialists, these two animals are adapted to an environment where they can live nowhere else besides that certain location."
1879,3_6914,3,0,Pandas in China are similar to Koalas in Australia because of the fact that they're both categorized as specialists that can never leave the environment because the only eat plants .They're different from pythons because pythons are known as a generalists that will attempt to Kill any other animals it can. Pythons are known to be extremely harmful and dangerous than amount animals such as the panda Koala bears as well as the the fact that they would spread faster.
144,3_5062,3,0,Pandas in China are similar to koalas in Australia because they're not a threat and they don't eat meat. These a animals are different from pythons because pythons are predators that constantly eat meat.
155,3_5073,3,0,"Pandas in China and koalas in Australia are both similar because they don't eat any type of meat, unlike pythons were they eat any type of meet like the article says ""A python swallowed an alligator""."
231,3_5149,3,0,Pandas in China are similar to koalas because they both can adapt to the climate change in areas rather than a python.
518,3_5442,3,0,Pandas in China are similar to koalas in Australia are both similar because they don't eat anything but plants such as bamboo or eucalyptus leaves.
1951,3_7021,3,0,"Pandas in China are similar to koalas in Australia due to the fact that they both coexist and survive and thrive on their ""homeland""/habitat. Their natural habitat allows them to thrive unlike the pythons. The issue of pythons is that they are being taken into habitats which don't suit them. In paragraph 21, it is stated that pandas ""eat almost nothing but bamboo"". And bamboo is abundant in China."
484,3_5407,3,0,The pandas in China are similar to koalas in Australia because their both mamals. They both are diffirent from pythons because China's panda eats nothing but bamboo and the Australia's koala bear eats nothing but eucalyptus leaves almost exclusively.
714,3_5644,3,0,"Pandas in China and koalas in Australia are similar but different from pythons is because panda and koala bears eat close to the same things, which a python could not do. Pythons on the other hand ""... is not with out an enviornmental conscience"" which means they won't be able to adapt like a panda and koala bear would if they were all put in the same enviorment."
1692,3_6683,3,0,Pandas and koala are different because the eat different type of plants. Such as pandas eat nothing but bamboos and koala bears eat eucalyptus leaves.
691,3_5621,3,0,"Pandas in China are similar to koalas in Australia because all they eat are plants. Also, they are both in the category of specialists. They are both different from pythons because pythons are in the category of generalists. Pythons don't eat plants like pandas and koalas."
89,3_5007,3,0,"Pandas in China are similar to koalas in Australia because they are both specialists. They eat trees and are very harmful. They are both different from pytons because pytons eat other species, and they are very harmful. ""A python swallowed an alligator and there's not a delicate way to put it exploded"" according to the article."
148,3_5066,3,1,"Both the panda and the koala are specialists, they can only live off 1 thing, or are dependent on something. An animal such as a python which is a specialist, is able to thrive in different environments."
42,3_4960,3,1,"Pandas in China and koalas in Australia are similar because they only eat one thing. Pandas eat bamboo and koalas eat eucalyptus leaves. Pythons on the other are completely different because they have a large variety of what they eat. In 2005, a python swallowed an alligator, and later the python itself blew up."
741,3_5672,3,1,Pandas and koalas are similar because they both are vegatarians and they both only eat on thing so that how they similar and pythons are carnivores so they eat meat and they dont have feet like pandas and koalas.
176,3_5094,3,1,"In the article it states that the Chinese panda and the Australian koalas are both similar because the panda eats bamboo and the koala eats eucalyptus leaves, these are both similar. The pythons are different because it is a carnivore which only eats meat."
909,3_5846,3,1,Pandas in China are similar to koalas in Australia because they almost eat just one kind of food all the time. They are different to pythons because they don't migrate and they don't eat animals and pythons do.
91,3_5009,3,1,Panda from china and koalas from Australia are in the very similar.They are both specialists.They live eating special plants like bamboo and eucalyptus leaves while pythons are very different.They can eat almost anything and kill only animals as a source of food.They are also eaten made pets so they have a better chance of survival.
291,3_5209,3,1,Pandas in China are similar to koalas in Australia because they both eat food exclusively. The panda eats just bamboo while koalas eat mainly eucalyptus leaves. The python is different because it would eat anything; it would even eat an alligator as described in paragraph 14.
2058,3_7192,3,1,Pandas in china are similar to kolas in Australia because they both have things they are adapted to like food. Pandas eat nothing but bamboo and the koalas eat just eucalyptus  leaves. They are different from the python because they can adopt and like anywhere from florida to Australia.
649,3_5577,3,1,"Pandas and koalas are different from pythons because of what they eat. Pythons can eat almost anything, and they will eat anything as long as they get their food. Pandas ""eats almost nothing but bamboo"" (Achenbach). And koalas only eats eucalyptus leaves. They are similar because they only eat one type of food."
1335,3_6300,3,1,Pandas and koalas are similar because the both have very specific diets. The python is different because they eat every thing.
2171,3_7373,3,1,The Chinese panda and the Australian koala bear are similar because they both have a strict single-plant diet and need it to survive. They are different from pythons because pythons can change their diet.
1612,3_6595,3,1,"China's panda's and Australia's koala's are alike because they both only eat plants. China's panda's and Australia's koala's are both different than pythons because pythons eat living animals. The story says ""Key Large would rot, one specimen of which tagged with a radio transmitter, was tracked all the way to the belly of a python."""
1592,3_6572,3,1,"Pandas in China are similar to Koalas in Australia because panda almost eat nothing but bamboo, Australia Koala bear eats eucalyptus leaves. All the time, they both have two main foods they eat."
332,3_5252,3,1,"Pandas and koala bears both live in warm climates where the plants they eat, grow. Pandas eat bamboo and koala bears eat eucalyptus leaves. Bamboo and eucalyptus leaves are both plants. Pythons eat other animals, they are carnivores. Even though they can find their food anywhere, temperature is a limiting factor as to were they can live."
1810,3_6813,3,1,"Pandas in China and Koalas in Australia eat only bamboo and eucalyptus leaves almost exclusively according to the author. For this reason, they are both specialists. However a the article states a python is a generalist and able to inhabit a number of different locations around the world, unlike the Panda and Koala who are limited to their native countries."
1143,3_6097,3,1,Pandas and koalas are similar because for the most part they aren't harmful and simply adapted to one type of environment. But pythons can adapt to multiple environments and and highly more dangerous then panda and koala bears.
544,3_5468,3,1,"China's panda and Australia's Koala are similar in that they are considered specialists species because of their exclusive diets, but also because they are not thought of as house pets. Both differ from the Pythons, Who snacks on rodents, birds, and the occasional alligator. Also, in the article the author says pythons were often kept as house pets."
2051,3_7183,3,1,Pandas an Koalas are similar in a way because pandas eat nothing but bamboo and Koalas eat nothing but eucalyptus leaves. They are both different from pythons because they are both specialists and a python is generalist and a python eats different from them too.
944,3_5888,3,1,"Panadas in China are similar to koalas in Australia because they have setteled in their establishment because of climate and resources. ''A specialist is China's panda, which eats almost nothing but bamboo.'' The panda setteled there for the food that China offers. They are different because they only eat one type of food."
1808,3_6809,3,1,"As described in the article, pandas eat an abundance of bamboo and therefore are specialist to China, while the koala ''eats eucalyptus leaves almost exclusively.'' Both these animals are specialists to one habitat while the python, a generalist is able to live in a wider range of habitats virtually anywhere."
1796,3_6797,3,1,"In the article it is explained that both pandas and koalas are specialists. Pythons were described as generalists. The panda and koala both eat basically one type of food, bamboo for the panda and eucalyptus leaves for the koala. They are different from pythons because pythons are generalists. Pythons eat many different types of prey."
